Data_minute,Valor,Ticker
2024-11-22 00:00,"572.831,06",BTC-BRL
2024-11-22 00:01,"573.230,91",BTC-BRL
2024-11-22 00:02,"573.230,91",BTC-BRL
2024-11-22 00:03,"573.275,27",BTC-BRL
2024-11-22 00:04,"573.400,46",BTC-BRL
2024-11-22 00:05,"573.311,67",BTC-BRL
2024-11-22 00:06,"573.301,67",BTC-BRL
2024-11-22 00:07,"573.040,96",BTC-BRL
2024-11-22 00:08,"573.237,76",BTC-BRL
2024-11-22 00:09,"573.231,48",BTC-BRL
2024-11-22 00:10,"573.231,48",BTC-BRL
2024-11-22 00:11,"573.346,95",BTC-BRL
2024-11-22 00:12,"573.331,08",BTC-BRL
2024-11-22 00:13,"573.619,89",BTC-BRL
2024-11-22 00:14,"573.827,17",BTC-BRL
2024-11-22 00:15,"574.103,93",BTC-BRL
2024-11-22 00:16,"574.395,77",BTC-BRL
2024-11-22 00:17,"574.502,52",BTC-BRL
2024-11-22 00:18,"575.262,50",BTC-BRL
2024-11-22 00:19,"575.884,21",BTC-BRL
2024-11-22 00:20,"575.884,21",BTC-BRL
2024-11-22 00:21,"576.073,46",BTC-BRL
2024-11-22 00:22,"576.073,46",BTC-BRL
2024-11-22 00:23,"576.385,97",BTC-BRL
2024-11-22 00:24,"576.060,73",BTC-BRL
2024-11-22 00:25,"575.481,11",BTC-BRL
2024-11-22 00:26,"575.499,56",BTC-BRL
2024-11-22 00:27,"575.536,00",BTC-BRL
2024-11-22 00:28,"575.650,65",BTC-BRL
2024-11-22 00:29,"575.380,76",BTC-BRL
2024-11-22 00:30,"575.380,76",BTC-BRL
2024-11-22 00:31,"574.393,55",BTC-BRL
2024-11-22 00:32,"574.383,86",BTC-BRL
2024-11-22 00:33,"574.046,36",BTC-BRL
2024-11-22 00:34,"573.631,47",BTC-BRL
2024-11-22 00:35,"573.631,47",BTC-BRL
2024-11-22 00:36,"573.193,97",BTC-BRL
2024-11-22 00:37,"573.437,17",BTC-BRL
2024-11-22 00:38,"573.866,06",BTC-BRL
2024-11-22 00:39,"573.487,87",BTC-BRL
2024-11-22 00:40,"573.487,87",BTC-BRL
2024-11-22 00:41,"573.152,25",BTC-BRL
