Data_minute,Valor,Ticker
2024-11-25 10:05,"R$ 17,05",NVDC34:BVMF
2024-11-25 11:13,"R$ 17,16",NVDC34:BVMF
2024-11-25 11:14,"R$ 17,16",NVDC34:BVMF
2024-11-25 11:15,"R$ 17,14",NVDC34:BVMF
2024-11-25 11:16,"R$ 17,13",NVDC34:BVMF
2024-11-25 11:17,"R$ 17,14",NVDC34:BVMF
2024-11-25 11:18,"R$ 17,14",NVDC34:BVMF
2024-11-25 11:19,"R$ 17,14",NVDC34:BVMF
2024-11-25 11:20,"R$ 17,15",NVDC34:BVMF
2024-11-25 11:21,"R$ 17,15",NVDC34:BVMF
2024-11-25 11:22,"R$ 17,13",NVDC34:BVMF
2024-11-25 11:23,"R$ 17,13",NVDC34:BVMF
2024-11-25 11:24,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:25,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:26,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:27,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:28,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:29,"R$ 17,13",NVDC34:BVMF
2024-11-25 11:30,"R$ 17,12",NVDC34:BVMF
2024-11-25 11:31,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:32,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:33,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:34,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:35,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:36,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:37,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:38,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:39,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:40,"R$ 17,11",NVDC34:BVMF
2024-11-25 11:41,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:42,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:43,"R$ 17,10",NVDC34:BVMF
2024-11-25 11:44,"R$ 17,09",NVDC34:BVMF
2024-11-25 11:45,"R$ 17,06",NVDC34:BVMF
2024-11-25 11:46,"R$ 16,87",NVDC34:BVMF
2024-11-25 11:47,"R$ 16,89",NVDC34:BVMF
2024-11-25 11:48,"R$ 16,92",NVDC34:BVMF
2024-11-25 11:49,"R$ 16,86",NVDC34:BVMF
2024-11-25 11:50,"R$ 16,82",NVDC34:BVMF
2024-11-25 11:51,"R$ 16,81",NVDC34:BVMF
2024-11-25 11:52,"R$ 16,75",NVDC34:BVMF
2024-11-25 11:53,"R$ 16,84",NVDC34:BVMF
2024-11-25 11:54,"R$ 16,89",NVDC34:BVMF
2024-11-25 11:55,"R$ 16,91",NVDC34:BVMF
2024-11-25 11:56,"R$ 16,89",NVDC34:BVMF
2024-11-25 11:57,"R$ 16,85",NVDC34:BVMF
2024-11-25 11:59,"R$ 16,84",NVDC34:BVMF
2024-11-25 12:00,"R$ 16,80",NVDC34:BVMF
2024-11-25 12:01,"R$ 16,81",NVDC34:BVMF
2024-11-25 12:02,"R$ 16,76",NVDC34:BVMF
2024-11-25 12:03,"R$ 16,77",NVDC34:BVMF
2024-11-25 12:04,"R$ 16,74",NVDC34:BVMF
2024-11-25 12:05,"R$ 16,73",NVDC34:BVMF
2024-11-25 12:06,"R$ 16,75",NVDC34:BVMF
2024-11-25 12:07,"R$ 16,72",NVDC34:BVMF
2024-11-25 12:08,"R$ 16,64",NVDC34:BVMF
2024-11-25 12:09,"R$ 16,63",NVDC34:BVMF
2024-11-25 12:10,"R$ 16,54",NVDC34:BVMF
2024-11-25 12:11,"R$ 16,57",NVDC34:BVMF
2024-11-25 12:12,"R$ 16,61",NVDC34:BVMF
2024-11-25 12:13,"R$ 16,60",NVDC34:BVMF
2024-11-25 12:14,"R$ 16,65",NVDC34:BVMF
2024-11-25 12:15,"R$ 16,66",NVDC34:BVMF
2024-11-25 12:16,"R$ 16,65",NVDC34:BVMF
2024-11-25 12:17,"R$ 16,61",NVDC34:BVMF
2024-11-25 12:18,"R$ 16,62",NVDC34:BVMF
2024-11-25 12:19,"R$ 16,64",NVDC34:BVMF
2024-11-25 12:20,"R$ 16,67",NVDC34:BVMF
2024-11-25 12:21,"R$ 16,66",NVDC34:BVMF
2024-11-25 12:22,"R$ 16,63",NVDC34:BVMF
2024-11-25 12:23,"R$ 16,66",NVDC34:BVMF
2024-11-25 12:24,"R$ 16,63",NVDC34:BVMF
2024-11-25 12:25,"R$ 16,56",NVDC34:BVMF
2024-11-25 12:26,"R$ 16,58",NVDC34:BVMF
2024-11-25 12:27,"R$ 16,54",NVDC34:BVMF
2024-11-25 12:28,"R$ 16,49",NVDC34:BVMF
2024-11-25 12:29,"R$ 16,49",NVDC34:BVMF
2024-11-25 12:30,"R$ 16,57",NVDC34:BVMF
