Data_minute,Valor,Ticker
2024-11-26 10:38,"R$ 39,39",PETR4:BVMF
2024-11-26 10:39,"R$ 39,34",PETR4:BVMF
2024-11-26 10:41,"R$ 39,36",PETR4:BVMF
2024-11-26 10:42,"R$ 39,35",PETR4:BVMF
2024-11-26 10:44,"R$ 39,38",PETR4:BVMF
2024-11-26 10:45,"R$ 39,36",PETR4:BVMF
2024-11-26 10:47,"R$ 39,41",PETR4:BVMF
2024-11-26 10:48,"R$ 39,40",PETR4:BVMF
2024-11-26 10:50,"R$ 39,40",PETR4:BVMF
2024-11-26 10:52,"R$ 39,42",PETR4:BVMF
2024-11-26 10:53,"R$ 39,40",PETR4:BVMF
2024-11-26 10:55,"R$ 39,43",PETR4:BVMF
2024-11-26 10:56,"R$ 39,42",PETR4:BVMF
2024-11-26 10:58,"R$ 39,43",PETR4:BVMF
2024-11-26 10:59,"R$ 39,47",PETR4:BVMF
2024-11-26 11:01,"R$ 39,43",PETR4:BVMF
2024-11-26 11:02,"R$ 39,45",PETR4:BVMF
2024-11-26 11:04,"R$ 39,45",PETR4:BVMF
2024-11-26 11:06,"R$ 39,38",PETR4:BVMF
2024-11-26 11:07,"R$ 39,39",PETR4:BVMF
2024-11-26 11:09,"R$ 39,36",PETR4:BVMF
2024-11-26 11:10,"R$ 39,37",PETR4:BVMF
2024-11-26 11:12,"R$ 39,35",PETR4:BVMF
2024-11-26 11:13,"R$ 39,36",PETR4:BVMF
2024-11-26 11:15,"R$ 39,36",PETR4:BVMF
2024-11-26 11:16,"R$ 39,37",PETR4:BVMF
2024-11-26 11:18,"R$ 39,32",PETR4:BVMF
2024-11-26 11:19,"R$ 39,31",PETR4:BVMF
2024-11-26 11:21,"R$ 39,31",PETR4:BVMF
2024-11-26 11:22,"R$ 39,31",PETR4:BVMF
2024-11-26 11:24,"R$ 39,33",PETR4:BVMF
2024-11-26 11:25,"R$ 39,31",PETR4:BVMF
2024-11-26 11:27,"R$ 39,31",PETR4:BVMF
2024-11-26 13:02,"R$ 39,28",PETR4:BVMF
2024-11-26 13:03,"R$ 39,30",PETR4:BVMF
2024-11-26 13:05,"R$ 39,29",PETR4:BVMF
2024-11-26 13:06,"R$ 39,29",PETR4:BVMF
2024-11-26 13:08,"R$ 39,29",PETR4:BVMF
2024-11-26 13:09,"R$ 39,25",PETR4:BVMF
2024-11-26 13:11,"R$ 39,25",PETR4:BVMF
2024-11-26 13:12,"R$ 39,23",PETR4:BVMF
2024-11-26 13:14,"R$ 39,24",PETR4:BVMF
2024-11-26 13:15,"R$ 39,23",PETR4:BVMF
2024-11-26 13:17,"R$ 39,24",PETR4:BVMF
2024-11-26 13:18,"R$ 39,28",PETR4:BVMF
2024-11-26 13:20,"R$ 39,26",PETR4:BVMF
2024-11-26 13:21,"R$ 39,26",PETR4:BVMF
2024-11-26 13:23,"R$ 39,24",PETR4:BVMF
2024-11-26 13:25,"R$ 39,22",PETR4:BVMF
2024-11-26 13:26,"R$ 39,22",PETR4:BVMF
2024-11-26 13:28,"R$ 39,23",PETR4:BVMF
2024-11-26 13:29,"R$ 39,22",PETR4:BVMF
2024-11-26 13:31,"R$ 39,25",PETR4:BVMF
2024-11-26 13:32,"R$ 39,23",PETR4:BVMF
2024-11-26 13:34,"R$ 39,21",PETR4:BVMF
2024-11-26 13:35,"R$ 39,21",PETR4:BVMF
2024-11-26 13:37,"R$ 39,17",PETR4:BVMF
2024-11-26 13:38,"R$ 39,20",PETR4:BVMF
2024-11-26 13:40,"R$ 39,19",PETR4:BVMF
2024-11-26 13:41,"R$ 39,18",PETR4:BVMF
2024-11-26 13:43,"R$ 39,18",PETR4:BVMF
2024-11-26 13:44,"R$ 39,18",PETR4:BVMF
2024-11-26 13:46,"R$ 39,20",PETR4:BVMF
2024-11-26 13:47,"R$ 39,20",PETR4:BVMF
2024-11-26 13:49,"R$ 39,21",PETR4:BVMF
2024-11-26 13:50,"R$ 39,21",PETR4:BVMF
2024-11-26 13:52,"R$ 39,26",PETR4:BVMF
2024-11-26 13:53,"R$ 39,27",PETR4:BVMF
2024-11-26 13:55,"R$ 39,25",PETR4:BVMF
2024-11-26 13:56,"R$ 39,25",PETR4:BVMF
2024-11-26 13:58,"R$ 39,25",PETR4:BVMF
2024-11-26 13:59,"R$ 39,22",PETR4:BVMF
2024-11-26 14:01,"R$ 39,25",PETR4:BVMF
2024-11-26 14:03,"R$ 39,27",PETR4:BVMF
