Data_minute,Valor,Ticker
2024-11-14 13:58,"515.151,11",BTC-BRL
2024-11-14 13:58,"514.860,79",BTC-BRL
2024-11-14 14:00,"514.647,98",BTC-BRL
2024-11-14 14:01,"515.077,71",BTC-BRL
2024-11-14 14:02,"514.943,84",BTC-BRL
2024-11-14 14:04,"514.531,85",BTC-BRL
2024-11-14 14:05,"514.225,30",BTC-BRL
2024-11-14 14:06,"514.347,13",BTC-BRL
2024-11-14 14:07,"514.337,19",BTC-BRL
2024-11-14 14:08,"514.264,99",BTC-BRL
2024-11-14 14:09,"514.661,37",BTC-BRL
2024-11-14 14:11,"514.732,08",BTC-BRL
2024-11-14 14:12,"514.904,13",BTC-BRL
2024-11-14 14:13,"514.932,79",BTC-BRL
2024-11-14 14:14,"514.944,12",BTC-BRL
2024-11-14 14:15,"514.584,49",BTC-BRL
2024-11-14 14:16,"514.584,49",BTC-BRL
2024-11-14 14:17,"513.997,01",BTC-BRL
2024-11-14 14:19,"513.746,86",BTC-BRL
2024-11-14 14:20,"514.020,91",BTC-BRL
2024-11-14 14:21,"513.816,96",BTC-BRL
2024-11-14 14:22,"514.077,67",BTC-BRL
2024-11-14 14:23,"514.405,96",BTC-BRL
2024-11-14 14:24,"514.374,29",BTC-BRL
2024-11-14 14:26,"514.289,50",BTC-BRL
2024-11-14 14:27,"514.473,43",BTC-BRL
2024-11-14 14:28,"514.458,55",BTC-BRL
2024-11-14 14:29,"514.098,78",BTC-BRL
2024-11-14 14:30,"513.626,54",BTC-BRL
2024-11-14 14:31,"513.090,85",BTC-BRL
2024-11-14 14:32,"512.886,23",BTC-BRL
2024-11-14 14:34,"512.970,38",BTC-BRL
2024-11-14 14:35,"512.858,92",BTC-BRL
2024-11-14 14:36,"512.784,57",BTC-BRL
2024-11-14 14:37,"513.211,25",BTC-BRL
2024-11-14 14:38,"513.267,43",BTC-BRL
2024-11-14 14:39,"514.078,48",BTC-BRL
2024-11-14 14:41,"513.827,80",BTC-BRL
2024-11-14 14:42,"514.662,16",BTC-BRL
2024-11-14 14:43,"514.917,25",BTC-BRL
